,g_F,g_M,es_Graduate,es_High School,es_Other,ms_Other,ms_Single,age_31-45,age_46-65,age_Less than 30,age_More than 65,Balance_Limit_V1,PAY_JULY,PAY_AUG,PAY_SEP,PAY_OCT,PAY_NOV,PAY_DEC,DUE_AMT_JULY,DUE_AMT_AUG,DUE_AMT_SEP,DUE_AMT_OCT,DUE_AMT_NOV,DUE_AMT_DEC,PAID_AMT_JULY,PAID_AMT_AUG,PAID_AMT_SEP,PAID_AMT_OCT,PAID_AMT_NOV,PAID_AMT_DEC
g_F,1.0,-1.0,0.021374477750915586,0.010085637060400473,-0.02790939933349916,0.03157280307272908,-0.03157280307272908,0.0244726973259087,0.06042138295742822,-0.07788637961245169,0.019749296700664262,-0.02220182303046512,0.05431111754919598,0.0662101436064959,0.06162208240826669,0.055779070380493685,0.049763341032641115,0.040451446486451714,0.03443385947491968,0.0320494945609606,0.024856675151474997,0.02186864540617742,0.018449231764058896,0.018586742944548873,-0.0001453486815355417,-0.00034225036969300705,0.007310145524679254,0.0036093571078427648,0.0019101465493902648,0.003459056808155697
g_M,-1.0,1.0,-0.02137447775091555,-0.010085637060400525,0.027909399333499108,-0.03157280307272904,0.03157280307272904,-0.024472697325908694,-0.06042138295742823,0.07788637961245169,-0.019749296700664266,0.022201823030465147,-0.05431111754919598,-0.0662101436064959,-0.06162208240826669,-0.05577907038049365,-0.049763341032641135,-0.04045144648645173,-0.034433859474919656,-0.03204949456096061,-0.024856675151474994,-0.021868645406177428,-0.018449231764058917,-0.018586742944548876,0.0001453486815355464,0.00034225036969300586,-0.007310145524679246,-0.003609357107842768,-0.0019101465493902151,-0.003459056808155699
es_Graduate,0.021374477750915586,-0.02137447775091555,1.0,-0.32678711189819687,-0.7146317762621195,0.15544143288272408,-0.15544143288272408,0.03821793730907317,-0.10533936913602271,0.04582788178720095,-0.010219803768641057,0.24624524985097698,-0.1405411263508332,-0.16820395683939796,-0.1588660250635752,-0.15091664710986624,-0.1397762823018991,-0.1259306510307972,-0.022773649196813597,-0.02077835666391562,-0.01283508128109121,-0.00509810130547542,0.0004755180259623613,-0.0036627710544588584,0.04564490759786143,0.04314333492477971,0.05098659413247049,0.04490681020644424,0.04421074763960957,0.049758503317951445
es_High School,0.010085637060400473,-0.010085637060400525,-0.32678711189819687,1.0,-0.42756437304099076,-0.10846632758463425,0.10846632758463425,-0.04681743066779724,0.1984862841799606,-0.11660599920543832,0.04400273546407881,-0.13510157422692787,0.05936539295896606,0.06375434302618338,0.06134024112752012,0.056685956394150805,0.04897852379248343,0.039660421260958034,-0.02199155121524922,-0.022669626021541534,-0.022198295727416183,-0.03017001330915128,-0.029795290618689393,-0.030001736443775195,-0.020514240514939122,-0.016241384256038074,-0.027619429937514775,-0.01947638374646351,-0.03473885353113032,-0.036464745687036754
es_Other,-0.02790939933349916,0.027909399333499108,-0.7146317762621196,-0.42756437304099076,1.0,-0.06839970381580611,0.06839970381580611,-0.0019041479182262627,-0.04614984267639759,0.04246996823397681,-0.022792771352826688,-0.13553972953841154,0.09048894043909342,0.11369998043420909,0.10655502485192213,0.10239625857482373,0.09744506181103231,0.09109839588911511,0.03805969809449794,0.03665307098578315,0.02870649066745162,0.027206233553298462,0.021597728710036835,0.025708794425841022,-0.028475967204872346,-0.029245710263851157,-0.028326477967673076,-0.028538133014814455,-0.016576049960344036,-0.020605076020626976
ms_Other,0.03157280307272908,-0.03157280307272904,0.15544143288272405,-0.10846632758463425,-0.06839970381580612,0.9999999999999999,-0.9999999999999999,-0.1801485509719749,-0.264383616891693,0.4144688343194489,-0.04972682237495395,-0.1021118952553645,0.018200683120042596,0.02457607514336571,0.03138925045813054,0.030059700890352932,0.031227991081014553,0.026591078934611535,-0.0270561707954276,-0.02623698591242377,-0.029227538122771537,-0.026550031970056846,-0.029220931528504437,-0.024674879495195905,-0.010244752201147286,-0.012570382303757403,-0.002619957182615953,-0.015305940325692501,-0.0007622312116651275,-0.005085869874523504
ms_Single,-0.03157280307272908,0.03157280307272904,-0.15544143288272405,0.10846632758463425,0.06839970381580612,-0.9999999999999999,0.9999999999999999,0.1801485509719749,0.264383616891693,-0.4144688343194489,0.04972682237495395,0.1021118952553645,-0.018200683120042596,-0.02457607514336571,-0.03138925045813054,-0.030059700890352932,-0.031227991081014553,-0.026591078934611535,0.0270561707954276,0.02623698591242377,0.029227538122771537,0.026550031970056846,0.029220931528504437,0.024674879495195905,0.010244752201147286,0.012570382303757403,0.002619957182615953,0.015305940325692501,0.0007622312116651275,0.005085869874523504
age_31-45,0.0244726973259087,-0.024472697325908694,0.03821793730907317,-0.04681743066779725,-0.0019041479182262627,-0.1801485509719749,0.1801485509719749,1.0,-0.461989028832451,-0.6903343793669519,-0.06129446439678719,0.20085436767578319,-0.07421515179093296,-0.08526995532037777,-0.08337081869188456,-0.07892219254486543,-0.08015575500682612,-0.07037822883582813,0.04540397299530524,0.0456464120234595,0.047920773640696836,0.05172312638259211,0.05319794285956552,0.05019052378491743,0.034018215050285495,0.04131994581555231,0.037066953514883615,0.04370094267359994,0.03409698803522473,0.04566531389155244
age_46-65,0.06042138295742822,-0.06042138295742824,-0.10533936913602271,0.1984862841799606,-0.04614984267639758,-0.26438361689169293,0.26438361689169293,-0.46198902883245097,0.9999999999999999,-0.31240316538629936,-0.02773812991288916,0.005152361365534338,0.001661633773894888,0.0030902926947449236,0.006568018079413443,0.006185964115912586,8.193211090538576e-05,-0.0031852295913387305,0.01660363351989011,0.014750334326910705,0.01418605087672721,0.008282766632432999,0.005822061653129297,0.00471327728949223,0.0018423070365783045,-0.0011422582258640897,0.004279223250453817,0.0022468202618424874,-0.0007165250490566066,-0.004639291523462837
age_Less than 30,-0.07788637961245168,0.07788637961245168,0.04582788178720095,-0.11660599920543831,0.042469968233976814,0.4144688343194489,-0.4144688343194489,-0.6903343793669519,-0.31240316538629936,1.0,-0.04144813730015836,-0.22296035067504794,0.07837097876996955,0.08972940597039947,0.08535198726861916,0.08061314265004174,0.08628788201971352,0.07748005136687883,-0.06575273317140756,-0.06444481005449149,-0.06623490275128355,-0.06626061487282504,-0.06599395776364594,-0.06223555204855066,-0.0398482259784594,-0.04291225863811722,-0.044079662569915176,-0.04891897907650792,-0.03834676149057315,-0.045404990088669966
