,bl_ 500K,bl_1.5M,bl_100K,bl_1M,bl_2.5M,bl_200K,bl_300K,bl_400K,g_F,g_M,es_Graduate,es_High School,es_Other,ms_Other,ms_Single,age_31-45,age_46-65,age_Less than 30,age_More than 65,PAY_JULY,PAY_AUG,PAY_SEP,PAY_OCT,PAY_NOV,PAY_DEC,DUE_AMT_JULY,DUE_AMT_AUG,DUE_AMT_SEP,DUE_AMT_OCT,DUE_AMT_NOV,DUE_AMT_DEC
bl_ 500K,1.0,-0.08091812076497046,-0.14858052375801972,-0.20825726953125062,-0.014251547857522735,-0.18978529380629836,-0.12120320647539001,-0.13877477254696055,-0.03161685460982131,0.0316168546098213,0.06865363370581826,-0.03911228543303006,-0.03671870312663687,-0.022027694874629244,0.022027694874629244,0.06931328095385456,-0.026962381232227033,-0.05523507921088839,0.02101280752489704,-0.08775482069589462,-0.10645974942785166,-0.09578130392869652,-0.0956802413563595,-0.09433470640843304,-0.08272167326176116,0.01292635452070728,0.007309829114445146,0.007014863374352723,0.011503228336162515,0.016148370203846907,0.017422399534542738
bl_1.5M,-0.08091812076497046,1.0,-0.0913995670182284,-0.1281098207363624,-0.008766864394949525,-0.1167467528151487,-0.07455836278456793,-0.08536754214504304,0.02709944320284217,-0.027099443202842185,0.10787496808980808,-0.050415430177517755,-0.06586799312335337,-0.045955692375173864,0.045955692375173864,0.06710062412623317,0.03640362866016531,-0.10403227629944554,0.01890181788714917,-0.08572036298033094,-0.08557298043497706,-0.08396423202420722,-0.06818290814859071,-0.06509355562673114,-0.06364742341151951,0.16417648255531547,0.15842750227459354,0.16953043499271087,0.17731455737261537,0.17401210687571228,0.1699376147196521
bl_100K,-0.14858052375801972,-0.0913995670182284,1.0,-0.23523314782410165,-0.016097572350951505,-0.21436846921724487,-0.13690284065355124,-0.15675047818629273,0.08034287071696707,-0.08034287071696707,-0.14620768642068682,0.09118732259476711,0.07235644817570937,0.07124955524973114,-0.07124955524973114,-0.13667826353774248,0.02154933724017326,0.13141570514110154,-0.016991466056348135,0.18119732151450782,0.21434904262740853,0.21521875440075255,0.2004172973710733,0.18834866788213137,0.16310335852100957,-0.2016278172271965,-0.19607669630223765,-0.18907895772549047,-0.1816166569423667,-0.17553010040851028,-0.177912729028831
bl_1M,-0.20825726953125062,-0.1281098207363624,-0.23523314782410165,1.0,-0.022563094940698417,-0.3004686680569584,-0.19188929386205394,-0.21970865197621955,-0.023762902820742584,0.023762902820742487,0.16509015180116315,-0.09345700717135508,-0.08873762535505979,-0.07107050468012123,0.07107050468012123,0.14546576174097195,-0.01021267086351171,-0.14892020663591007,0.008268794884898206,-0.18609030858963124,-0.20302801300951365,-0.19837675923089987,-0.18463646260440356,-0.1740641643998737,-0.1669566231922253,0.15265468798720483,0.15222271279989086,0.15171932725889384,0.1551712151848815,0.1567896382852002,0.15111808688333808
bl_2.5M,-0.014251547857522735,-0.008766864394949525,-0.016097572350951505,-0.022563094940698417,1.0,-0.020561796532424497,-0.013131447756789833,-0.015035193611241672,0.007145082301083569,-0.007145082301083572,0.015397024728490822,-0.008760730424845804,-0.008243102660338456,-0.0024515026655945286,0.0024515026655945286,0.007028402421343533,0.010115543867273936,-0.015447460362155678,-0.002383766176403336,-0.008944822191499729,-0.014320468274233797,-0.01605999831671015,-0.011857389898545647,-0.012514099058174934,-0.012357790524922106,0.05445853765128779,0.04704621916700376,0.04761966951296521,0.0480569664780058,0.05074937065482237,0.057837983945785154
bl_200K,-0.18978529380629836,-0.1167467528151487,-0.21436846921724487,-0.3004686680569584,-0.0205617965324245,0.9999999999999999,-0.17486912267630697,-0.2002209630470335,0.01726434620148791,-0.01726434620148791,-0.1378095908256768,0.08070533570099453,0.07208177505499112,0.04226057405870655,-0.04226057405870655,-0.11871052927348484,0.022508822066062795,0.11043415514194682,-0.00992841336650163,0.137175568901198,0.1496162598728477,0.13854726389277822,0.13380806743648252,0.12334321266685534,0.12009719632765953,-0.10585621517399398,-0.10474075861072889,-0.10889294960873809,-0.125946801203783,-0.1355808425700769,-0.1307676995874064
bl_300K,-0.12120320647539,-0.07455836278456793,-0.13690284065355124,-0.19188929386205392,-0.013131447756789835,-0.174869122676307,0.9999999999999998,-0.12786777225035798,-0.03862467531024713,0.038624675310247124,-0.03963684403549215,0.01038113565904302,0.030229136328046927,0.005569119589034506,-0.005569119589034506,-0.02438416566946574,-0.012059115851972703,0.03710668808417826,-0.008806756896837522,0.055234184090972825,0.050630017571899874,0.04746586161106565,0.04261530085120426,0.04931235943131107,0.055616092184928176,-0.0066875327267046135,-0.004845776814676451,-0.005877567994447326,-0.005514486795818591,-0.005299870202789067,-0.0020385124815939662
bl_400K,-0.13877477254696055,-0.08536754214504305,-0.1567504781862927,-0.21970865197621958,-0.01503519361124167,-0.20022096304703346,-0.12786777225035798,1.0,-0.027891400724786387,0.027891400724786367,0.00895551626846586,-0.01291226657663836,0.0009908917572260764,0.010741961356787852,-0.010741961356787852,0.01339941540148228,-0.024754613860126277,0.006315327904578165,-0.0046231181745461205,-0.028350001209444163,-0.03394308182035532,-0.03547631743358239,-0.038135310054690987,-0.035463387672231506,-0.031899791523825764,0.027362583700105546,0.028981197874278202,0.021463414923460666,0.02049860681566958,0.020997249045479328,0.022515722745273498
g_F,-0.03161685460982131,0.02709944320284217,0.08034287071696705,-0.02376290282074258,0.00714508230108357,0.01726434620148791,-0.03862467531024713,-0.02789140072478639,1.0,-1.0,0.021374477750915586,0.010085637060400473,-0.02790939933349916,0.03157280307272908,-0.03157280307272908,0.0244726973259087,0.06042138295742822,-0.07788637961245169,0.019749296700664262,0.05431111754919598,0.0662101436064959,0.06162208240826669,0.055779070380493685,0.049763341032641115,0.04045144648645169,0.03443385947491966,0.032049494560960595,0.024856675151475004,0.02186864540617742,0.018449231764058896,0.018586742944548883
g_M,0.0316168546098213,-0.02709944320284218,-0.08034287071696705,0.023762902820742487,-0.007145082301083573,-0.01726434620148791,0.038624675310247124,0.02789140072478637,-1.0,1.0,-0.02137447775091555,-0.010085637060400525,0.027909399333499108,-0.03157280307272904,0.03157280307272904,-0.024472697325908694,-0.06042138295742823,0.07788637961245169,-0.019749296700664266,-0.05431111754919598,-0.0662101436064959,-0.06162208240826669,-0.05577907038049365,-0.049763341032641135,-0.040451446486451714,-0.03443385947491966,-0.032049494560960595,-0.024856675151474997,-0.021868645406177428,-0.018449231764058917,-0.018586742944548887
