Client_ID,Balance_Limit_V1,AGE,g_F,g_M,es_Graduate,es_High School,es_Other,ms_Other,ms_Single,PAY_JULY,PAY_AUG,PAY_SEP,PAY_OCT,PAY_NOV,PAY_DEC,Paid_AMT,Due_AMT
A20170,500,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,125467.85284406258,356635.2973194088
A16887,200,38,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-17971.68877273041,-23797.841386555683
A3430,400,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1,-1,2,0,0,-1,-8523.747688235726,-232737.7355119081
A3696,1500,38,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,-1,-1,-2,-2,-2,-23356.934633268786,-245381.6759700976
A20474,100,24,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,-2,-2,-2,-2,-27907.92914188503,-212124.17054108405
A24270,100,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-21565.452773522255,-173817.04616447806
A3052,200,24,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2,2,2,2,2,-15775.484123630456,44544.73611652645
A11159,500,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,-2,-2,-2,-27084.41736598583,-238122.75741297237
A8192,500,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1,-1,-1,-1,-1,-1,-22456.337707493083,-243151.4259380849
A25046,400,56,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-15592.556318080353,135413.34200183244
A18374,200,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,-1,-1,2,0,-1,40446.19219312605,-168416.6190797891
A26116,500,38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,-2,-2,-2,-2,-2,-27907.929141885033,-250425.43831308006
A17207,400,56,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1,-1,-2,-2,-1,0,-24295.293747528427,-249355.48056485542
A11078,1000,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-2,-2,-2,-2,-2,-2,-22827.801666978146,-244954.82554445168
A13410,300,56,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,2,2,0,0,0,-17754.96906530931,2396.8224569048025
A23431,200,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,-1,0,-1,-9021.30408322123,-203922.39856688216
A23559,1000,38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1992.8515380617325,-78664.72819981659
A12471,200,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,2,0,0,0,-21703.65896860271,-199472.29308713062
A2347,1000,56,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,7669.590235096456,685809.4409780467
A13816,400,38,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,-2842.7997483761187,414461.2421633377
A2514,500,38,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,-2,-1,-1,-1,-1,-16600.89177534358,-242343.9928495356
A16317,400,38,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,2,2,-698.0663008660636,184224.0203211124
